geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
421010039014020,1301,Newbold,,63,35,4260000
421010040013003,1301,Newbold,,0,0,4260000
421010040013004,1301,Newbold,,0,0,4260000
421010040013005,1301,Newbold,,0,0,4260000
421010040013006,1301,Newbold,,0,0,4260000
421010040014007,1301,Newbold,,0,0,4260000
421010040014008,1301,Newbold,,0,0,4260000
421010040014009,1301,Newbold,,0,0,4260000
421010040014010,1301,Newbold,,0,0,4260000
421010037011000,1302,West Passyunk,,106,49,4260000
421010037011001,1302,West Passyunk,,97,44,4260000
421010037011002,1302,West Passyunk,,91,46,4260000
421010037011003,1302,West Passyunk,,110,48,4260000
421010037011004,1302,West Passyunk,,155,56,4260000
421010037011005,1302,West Passyunk,,142,54,4260000
421010037011006,1302,West Passyunk,,142,54,4260000
421010037011007,1302,West Passyunk,,85,49,4260000
421010037011008,1302,West Passyunk,,154,57,4260000
421010037011009,1302,West Passyunk,,119,56,4260000
421010037012000,1302,West Passyunk,,150,53,4260000
421010037012001,1302,West Passyunk,,121,51,4260000
421010037012002,1302,West Passyunk,,117,54,4260000
421010037012003,1302,West Passyunk,,120,48,4260000
421010037012004,1302,West Passyunk,,148,52,4260000
421010037012005,1302,West Passyunk,,147,53,4260000
421010037012006,1302,West Passyunk,,101,39,4260000
421010037012007,1302,West Passyunk,,140,53,4260000
421010037013000,1302,West Passyunk,,84,35,4260000
421010037013001,1302,West Passyunk,,139,55,4260000
421010037013002,1302,West Passyunk,,140,54,4260000
421010037013003,1302,West Passyunk,,114,50,4260000
421010037013004,1302,West Passyunk,,134,44,4260000
421010037013005,1302,West Passyunk,,143,52,4260000
421010037013006,1302,West Passyunk,,138,54,4260000
421010037013007,1302,West Passyunk,,135,54,4260000
421010037013008,1302,West Passyunk,,154,57,4260000
421010037013009,1302,West Passyunk,,134,54,4260000
421010037013010,1302,West Passyunk,,134,55,4260000
421010037013011,1302,West Passyunk,,191,72,4260000
421010037013012,1302,West Passyunk,,184,70,4260000
421010037013013,1302,West Passyunk,,173,70,4260000
421010037014000,1302,West Passyunk,,90,33,4260000
421010037014001,1302,West Passyunk,,107,40,4260000
421010037014002,1302,West Passyunk,,66,34,4260000
421010037014003,1302,West Passyunk,,34,12,4260000
421010037014004,1302,West Passyunk,,73,37,4260000
421010037014005,1302,West Passyunk,,125,54,4260000
421010037014006,1302,West Passyunk,,64,24,4260000
421010037014007,1302,West Passyunk,,139,54,4260000
421010037014008,1302,West Passyunk,,146,60,4260000
421010037014009,1302,West Passyunk,,125,51,4260000
421010037014010,1302,West Passyunk,,104,40,4260000
421010037014011,1302,West Passyunk,,155,49,4260000
421010037014012,1302,West Passyunk,,155,48,4260000
421010037015000,1302,West Passyunk,,134,68,4260000
421010037015001,1302,West Passyunk,,0,0,4260000
421010037015002,1302,West Passyunk,,119,52,4260000
421010037015003,1302,West Passyunk,,109,51,4260000
421010037015004,1302,West Passyunk,,119,47,4260000
421010037015005,1302,West Passyunk,,120,62,4260000
421010037015006,1302,West Passyunk,,128,61,4260000
421010037015007,1302,West Passyunk,,92,42,4260000
421010037015008,1302,West Passyunk,,163,52,4260000
421010037021000,1302,West Passyunk,,0,0,4260000
421010037021001,1302,West Passyunk,,139,53,4260000
421010037021002,1302,West Passyunk,,93,44,4260000
421010037021003,1302,West Passyunk,,154,55,4260000
421010037021004,1302,West Passyunk,,149,51,4260000
421010037021005,1302,West Passyunk,,160,52,4260000
421010037021006,1302,West Passyunk,,134,55,4260000
421010037021007,1302,West Passyunk,,149,52,4260000
